id;name;text;created_at;updated_at
1;Buckinghamshire;Licensed;2022-03-11;2022-03-10
2;Directives;Corner backing;2022-03-10;2022-03-11
3;Borders maroon system;teal Pre-emptive PCI;2022-03-10;2022-03-10
4;Dynamic Operations;alliance Plastic;2022-03-10;2022-03-10
5;Trail transmitting International;Borders Mouse Intelligent;2022-03-11;2022-03-11
6;Philippine user-centric online;generating XSS copying;2022-03-10;2022-03-11
7;Account Personal;deposit;2022-03-11;2022-03-10
8;capacitor;payment Shoes Dinar;2022-03-11;2022-03-11
9;rich yellow;systems Factors;2022-03-11;2022-03-11
10;Plastic;Berkshire Incredible invoice;2022-03-10;2022-03-11
