id;operation_name;client_ip;host;created_at;action_type
1;Electronics calculating Auto;Operations;transmitting SDD generating;2022-03-10;Login
2;Metal Corporate;Wisconsin;Home;2022-03-10;Login
3;bluetooth auxiliary;pink Unbranded De-engineered;solution primary Global;2022-03-10;Login
4;Sleek invoice hacking;index;Gloves;2022-03-10;Login
5;Computers Specialist;purple;Future;2022-03-11;Login
6;Central;deliver transparent;silver;2022-03-10;Login
7;24/365;moratorium;Licensed;2022-03-10;Login
8;Illinois;Iraqi;SSL;2022-03-10;Logout
9;Avon installation panel;Neck Granite Reunion;olive Louisiana COM;2022-03-10;Logout
10;stable alarm;middleware parse Sharable;silver New;2022-03-11;Logout
