id;name_uz;name_ru;name_en;created_at;updated_at
1;index Oklahoma;XSS Jewelery deliver;Bedfordshire;2022-03-10;2022-03-10
2;Small;Plastic;sensor;2022-03-10;2022-03-11
3;Mandatory;enterprise synthesizing reboot;architect Quality-focused teal;2022-03-11;2022-03-10
4;Account circuit;architectures;target;2022-03-10;2022-03-11
5;Krona;Directives algorithm reboot;Tasty;2022-03-11;2022-03-10
6;Flat Licensed;parsing conglomeration vertical;Steel;2022-03-10;2022-03-10
7;protocol Market;paradigms B2B Guiana;Applications;2022-03-10;2022-03-10
8;e-markets applications;empowering;deposit Market Visionary;2022-03-10;2022-03-10
9;transmitting;USB parse;Concrete;2022-03-10;2022-03-11
10;cross-media Shirt Industrial;Ghana Uganda SMTP;product Applications;2022-03-10;2022-03-10
