id;topic;created_at;updated_at;deadline
1;withdrawal Avon rich;2022-03-10;2022-03-10;2022-03-10
2;matrices;2022-03-10;2022-03-10;2022-03-11
3;blockchains;2022-03-10;2022-03-11;2022-03-10
4;bifurcated virtual;2022-03-11;2022-03-10;2022-03-10
5;Stream Human state;2022-03-10;2022-03-10;2022-03-10
6;proactive Lead;2022-03-10;2022-03-11;2022-03-10
7;synthesizing;2022-03-10;2022-03-10;2022-03-10
8;Squares optical;2022-03-10;2022-03-10;2022-03-10
9;Movies bypass Avon;2022-03-10;2022-03-10;2022-03-10
10;integrate;2022-03-10;2022-03-10;2022-03-11
