id;name_uz;name_ru;name_en;created_at;updated_at
1;matrix HDD;Car auxiliary Square;Pound;2022-03-10;2022-03-10
2;Profound withdrawal Open-source;Buckinghamshire;THX withdrawal;2022-03-10;2022-03-11
3;Delaware input Implemented;purple;Shoes;2022-03-11;2022-03-10
4;indexing;methodologies Account;Avon calculate Massachusetts;2022-03-10;2022-03-10
5;Tennessee Technician Strategist;green;application;2022-03-11;2022-03-11
6;Lebanese;Loan viral Producer;Wells;2022-03-10;2022-03-11
7;Human action-items;Handcrafted Account Tuna;orchestrate;2022-03-11;2022-03-10
8;array;connect next;Producer Usability;2022-03-10;2022-03-10
9;Vatu ivory;invoice Locks;Engineer withdrawal knowledge;2022-03-10;2022-03-10
10;synthesize;dedicated;collaborative;2022-03-10;2022-03-10
